"happy","goodlife","satfin","degree","realinc","age","sex","polviews"
1,NA,1,3,16577,66,"female",5
2,NA,2,0,13563,74,"male",6
2,NA,2,0,19591,62,"female",4
2,NA,3,1,10850,33,"female",NA
2,NA,2,1,NA,36,"female",3
2,NA,2,1,19591,28,"male",NA
2,NA,1,3,90722,44,"male",2
2,NA,3,1,NA,23,"male",NA
1,NA,3,4,19591,36,"female",2
2,NA,3,1,NA,21,"male",5
2,NA,2,0,36167,52,"female",4
2,NA,2,0,10850,22,"female",5
3,NA,3,1,13563,27,"female",2
1,NA,1,0,19591,54,"male",2
2,NA,3,2,13563,24,"male",2
2,NA,2,1,NA,NA,"female",NA
1,NA,NA,1,NA,NA,"female",NA
2,NA,3,1,51237,41,"female",2
2,NA,1,4,51237,54,"male",6
2,NA,1,4,90722,44,"male",5
2,NA,2,4,43152.8415,29,"male",6
1,NA,1,4,36167,72,"male",3
1,NA,3,1,36167,59,"female",3
1,NA,2,1,22605,21,"female",3
2,NA,1,1,90722,54,"male",4
2,NA,2,1,36167,56,"male",3
2,NA,1,1,16577,63,"female",4
2,NA,3,1,43152.8415,45,"female",4
3,NA,3,0,19591,35,"female",2
2,NA,3,0,9042,38,"female",3
2,NA,2,1,51237,30,"female",4
3,NA,2,1,4220,58,"male",2
3,NA,3,0,5425,18,"female",3
2,NA,2,1,16577,47,"female",4
2,NA,3,1,22605,29,"female",5
2,NA,2,1,22605,23,"male",6
2,NA,2,1,4220,45,"female",3
2,NA,2,0,6631,71,"male",NA
2,NA,2,1,43152.8415,35,"female",6
2,NA,3,1,19591,58,"male",4
2,NA,3,1,19591,27,"male",5
2,NA,2,0,4220,78,"female",3
2,NA,1,1,43152.8415,30,"female",4
1,NA,3,1,4220,32,"female",2
1,NA,2,1,10850,26,"female",5
2,NA,2,0,36167,52,"male",5
2,NA,3,0,7836,56,"female",4
2,NA,3,1,13563,21,"male",2
2,NA,2,1,16577,27,"male",4
1,NA,2,1,16577,58,"female",4
2,NA,2,1,NA,39,"male",4
2,NA,3,0,13563,25,"female",6
2,NA,2,1,19591,63,"female",4
2,NA,2,1,13563,38,"female",3
2,NA,2,0,10850,21,"male",5
2,NA,2,4,51237,44,"female",4
1,NA,3,2,NA,59,"female",4
2,NA,3,1,43152.8415,68,"male",4
2,NA,2,4,90722,53,"male",2
1,NA,2,3,51237,47,"female",4
2,NA,2,1,51237,64,"male",4
1,NA,3,1,4220,25,"female",1
3,NA,3,4,51237,52,"male",5
2,NA,1,1,51237,41,"female",6
2,NA,3,1,10850,35,"male",1
3,NA,2,0,90722,56,"female",5
1,NA,2,0,6631,75,"female",3
2,NA,2,1,16577,55,"female",4
2,NA,3,1,43152.8415,40,"male",4
2,NA,2,2,51237,25,"female",4
2,NA,3,0,13563,43,"female",4
2,NA,2,0,7836,65,"female",4
2,NA,2,1,51237,59,"male",5
2,NA,2,1,51237,49,"male",4
2,NA,2,3,43152.8415,32,"male",3
3,NA,3,0,13563,24,"female",3
2,NA,1,3,10850,86,"female",6
2,NA,2,3,25619,25,"female",4
3,NA,2,0,16577,66,"female",NA
1,NA,2,1,16577,26,"male",4
2,NA,3,1,13563,64,"female",4
1,NA,3,1,36167,32,"male",NA
1,NA,1,1,51237,55,"female",4
1,NA,2,0,16577,71,"female",2
1,NA,2,3,2411,58,"male",6
1,NA,2,0,51237,67,"female",2
2,NA,3,1,5425,32,"female",1
1,NA,1,1,16577,75,"male",4
1,NA,2,1,36167,26,"female",3
1,NA,2,1,51237,42,"male",5
2,NA,2,1,9042,65,"male",4
3,NA,1,1,10850,77,"male",5
2,NA,2,1,36167,46,"male",4
3,NA,3,1,22605,24,"male",4
1,NA,2,1,51237,55,"female",1
1,NA,2,1,90722,21,"female",2
2,NA,1,0,4220,68,"female",2
1,NA,1,0,2411,71,"male",2
1,NA,2,0,22605,63,"female",3
2,NA,3,1,19591,21,"male",1
2,NA,3,1,10850,23,"male",2
2,NA,3,1,4220,29,"female",2
3,NA,3,2,13563,45,"female",5
1,NA,1,1,5425,70,"female",5
2,NA,2,0,6631,67,"female",5
2,NA,2,1,22605,34,"female",4
1,NA,1,0,NA,27,"female",4
2,NA,2,1,51237,28,"female",3
1,NA,2,1,43152.8415,61,"female",4
2,NA,1,2,51237,31,"male",1
1,NA,2,4,36167,25,"male",5
2,NA,1,4,90722,38,"male",5
1,NA,1,4,90722,52,"female",5
1,NA,1,2,51237,31,"female",4
2,NA,1,1,36167,39,"female",5
1,NA,3,4,90722,34,"female",3
2,NA,3,1,25619,26,"male",7
2,NA,3,1,13563,40,"male",4
1,NA,1,1,16577,24,"female",6
2,NA,2,1,19591,26,"male",6
1,NA,2,3,51237,43,"male",2
1,NA,2,1,36167,38,"female",6
1,NA,1,3,90722,44,"female",5
1,NA,3,1,43152.8415,38,"female",3
2,NA,2,3,22605,40,"female",2
2,NA,1,0,51237,50,"female",3
2,NA,1,0,19591,81,"male",4
2,NA,2,1,22605,44,"female",4
2,NA,2,3,16577,31,"female",3
2,NA,3,1,25619,21,"female",2
2,NA,2,4,51237,34,"male",6
2,NA,2,1,19591,29,"female",4
1,NA,3,1,22605,28,"female",5
1,NA,2,1,36167,35,"female",4
2,NA,2,0,5425,69,"male",2
2,NA,1,0,6631,73,"male",3
2,NA,3,1,6631,66,"male",4
1,NA,2,0,6631,36,"female",4
2,NA,2,0,16577,22,"female",4
1,NA,1,0,13563,36,"male",3
2,NA,3,2,36167,57,"male",6
2,NA,2,0,16577,21,"male",3
1,NA,1,3,19591,25,"female",5
2,NA,3,3,51237,37,"male",3
1,NA,2,1,90722,24,"male",2
1,NA,3,1,13563,70,"male",6
2,NA,2,1,10850,26,"female",2
2,NA,3,3,36167,33,"female",4
2,NA,2,1,36167,19,"male",5
2,NA,3,1,19591,29,"male",2
2,NA,3,0,5425,30,"female",3
3,NA,3,1,16577,23,"female",4
1,NA,2,1,7836,19,"female",3
2,NA,2,1,36167,31,"male",5
2,NA,3,1,36167,47,"female",2
2,NA,3,1,4220,20,"female",4
2,NA,3,1,NA,56,"female",4
2,NA,1,1,13563,46,"female",5
3,NA,2,0,13563,20,"male",4
3,NA,3,1,19591,32,"female",4
1,NA,1,1,NA,43,"female",NA
2,NA,2,2,16577,34,"female",4
2,NA,3,1,13563,31,"female",4
1,NA,3,1,22605,34,"female",5
1,NA,2,1,25619,27,"male",3
2,NA,2,1,13563,33,"male",3
3,NA,3,1,10850,26,"male",4
3,NA,3,0,4220,69,"female",2
2,NA,3,0,5425,30,"female",4
2,NA,2,1,90722,42,"male",7
2,NA,1,1,51237,51,"female",4
1,NA,2,1,36167,36,"female",6
1,NA,2,0,13563,71,"female",4
3,NA,3,1,2411,44,"male",4
2,NA,2,0,16577,50,"male",4
1,NA,1,1,13563,56,"female",4
1,NA,1,1,36167,22,"male",6
1,NA,1,3,19591,50,"female",6
2,NA,2,3,19591,29,"female",4
3,NA,3,1,16577,23,"female",6
2,NA,3,3,13563,36,"female",5
1,NA,1,1,25619,27,"male",4
1,NA,3,4,51237,42,"male",4
2,NA,2,1,36167,39,"female",5
2,NA,3,1,6631,72,"female",4
2,NA,2,3,16577,33,"female",2
2,NA,1,1,19591,48,"male",4
2,NA,1,0,19591,62,"female",7
1,NA,2,1,13563,22,"female",4
2,NA,2,1,19591,24,"female",4
1,NA,1,0,25619,32,"male",3
3,NA,2,1,36167,33,"female",3
1,NA,2,1,25619,44,"female",2
1,NA,2,1,36167,36,"female",4
2,NA,1,1,36167,35,"male",5
1,NA,3,1,25619,34,"male",4
2,NA,1,1,36167,22,"male",3
3,NA,2,0,NA,22,"female",3
2,NA,3,1,16577,28,"male",6
2,NA,2,1,NA,22,"female",NA
1,NA,1,1,NA,21,"female",3
1,NA,2,1,NA,59,"male",4
2,NA,2,4,43152.8415,55,"female",4
2,NA,3,3,22605,27,"male",5
1,NA,2,0,19591,60,"female",4
1,NA,2,3,19591,24,"male",5
2,NA,2,1,13563,20,"male",2
2,NA,1,3,16577,27,"female",5
2,NA,2,4,51237,30,"male",3
2,NA,2,2,36167,28,"female",2
1,NA,2,4,36167,36,"female",4
2,NA,1,1,36167,28,"female",NA
2,NA,1,4,90722,59,"male",6
1,NA,2,1,10850,20,"male",3
2,NA,2,1,19591,54,"female",4
2,NA,1,1,13563,58,"female",4
1,NA,2,3,NA,36,"male",6
2,NA,2,0,NA,64,"female",NA
2,NA,3,0,603,27,"female",7
2,NA,2,1,9042,46,"female",4
2,NA,2,1,603,24,"female",2
2,NA,3,0,10850,62,"male",2
2,NA,3,0,4220,60,"female",4
2,NA,2,1,36167,52,"female",4
2,NA,3,1,16577,25,"male",3
1,NA,2,1,2411,68,"female",NA
1,NA,1,4,25619,36,"female",2
2,NA,1,1,22605,23,"female",5
3,NA,2,3,16577,51,"male",4
3,NA,3,0,603,18,"male",6
1,NA,2,1,36167,50,"female",6
1,NA,1,1,51237,46,"female",6
2,NA,3,1,22605,29,"male",3
2,NA,1,0,43152.8415,51,"male",6
2,NA,2,3,10850,25,"female",3
2,NA,3,0,6631,66,"female",2
2,NA,1,0,5425,67,"female",NA
3,NA,3,3,16577,30,"male",6
2,NA,3,3,36167,28,"female",5
2,NA,2,1,25619,76,"female",4
2,NA,3,1,43152.8415,28,"male",3
2,NA,3,1,43152.8415,30,"female",4
3,NA,3,1,16577,37,"male",5
1,NA,1,0,36167,54,"female",NA
1,NA,1,1,10850,57,"female",7
2,NA,2,0,13563,22,"female",NA
2,NA,1,0,13563,67,"male",3
1,NA,3,0,4220,72,"female",2
3,NA,1,0,7836,62,"female",NA
2,NA,3,1,4220,81,"female",3
3,NA,2,0,603,77,"female",4
2,NA,1,0,9042,82,"male",5
2,NA,3,1,22605,26,"female",4
1,NA,1,1,36167,NA,"female",6
1,NA,3,1,43152.8415,59,"female",4
1,NA,1,4,22605,29,"male",4
2,NA,2,0,16577,56,"male",4
2,NA,3,1,22605,36,"female",4
1,NA,1,4,13563,84,"female",7
2,NA,3,0,19591,25,"male",2
2,NA,3,2,19591,35,"female",6
2,NA,3,1,9042,38,"female",5
2,NA,2,1,19591,65,"female",5
2,NA,2,1,NA,53,"male",5
2,NA,1,0,10850,67,"female",5
2,NA,2,1,19591,33,"female",2
2,NA,2,1,36167,26,"male",4
2,NA,2,1,25619,20,"female",5
3,NA,3,1,10850,31,"female",4
2,NA,2,0,16577,70,"male",3
1,NA,3,1,603,19,"female",4
3,NA,3,1,19591,37,"male",5
2,NA,3,1,13563,62,"female",4
3,NA,2,0,16577,21,"male",6
2,NA,1,3,90722,31,"female",4
2,NA,1,0,NA,89,"female",4
2,NA,2,0,43152.8415,53,"male",1
1,NA,1,0,16577,19,"female",4
2,NA,2,1,NA,32,"female",6
2,NA,2,3,43152.8415,24,"female",3
2,NA,3,1,13563,31,"male",2
1,NA,2,0,22605,66,"female",4
1,NA,1,1,43152.8415,38,"female",4
2,NA,1,1,90722,72,"male",6
1,NA,1,1,51237,60,"male",5
2,NA,2,1,13563,25,"male",2
1,NA,2,1,36167,24,"male",4
2,NA,2,3,25619,31,"male",4
1,NA,2,3,19591,27,"male",7
2,NA,3,1,90722,30,"female",4
2,NA,2,1,19591,81,"female",4
2,NA,3,1,25619,26,"female",2
2,NA,1,1,36167,48,"female",6
1,NA,3,1,NA,28,"female",NA
2,NA,1,1,9042,25,"male",2
1,NA,2,1,16577,73,"female",5
2,NA,2,4,90722,38,"male",5
2,NA,2,4,36167,31,"male",3
1,NA,1,1,51237,24,"female",3
2,NA,1,1,51237,46,"female",4
1,NA,2,0,51237,56,"female",3
2,NA,2,2,25619,56,"male",6
2,NA,1,1,51237,47,"male",2
2,NA,2,0,13563,63,"male",7
2,NA,2,3,36167,40,"female",3
2,NA,1,0,43152.8415,89,"male",4
2,NA,3,0,10850,54,"female",3
2,NA,NA,0,NA,75,"male",4
2,NA,2,4,51237,35,"male",4
1,NA,2,1,13563,25,"female",4
2,NA,2,1,36167,27,"male",5
2,NA,1,0,4220,77,"female",6
3,NA,3,1,16577,47,"male",3
2,NA,2,3,22605,31,"male",3
1,NA,1,2,25619,52,"female",3
1,NA,2,1,36167,20,"male",6
2,NA,1,1,13563,23,"male",6
2,NA,3,1,36167,25,"female",6
1,NA,1,2,36167,27,"female",5
2,NA,3,2,36167,33,"male",3
2,NA,2,1,25619,22,"female",2
1,NA,1,2,7836,82,"female",6
1,NA,2,1,51237,58,"female",2
1,NA,2,2,13563,25,"female",4
2,NA,NA,3,NA,30,"female",6
2,NA,1,1,51237,19,"male",4
2,NA,2,1,36167,67,"male",5
1,NA,1,1,43152.8415,30,"male",7
1,NA,2,0,16577,59,"male",4
2,NA,2,1,16577,71,"male",4
1,NA,3,0,7836,77,"female",4
1,NA,2,1,36167,27,"female",4
2,NA,2,1,43152.8415,56,"female",4
2,NA,2,0,13563,18,"male",4
2,NA,2,0,16577,51,"female",4
2,NA,2,1,25619,61,"female",4
2,NA,1,1,25619,55,"female",6
2,NA,2,1,16577,52,"male",4
2,NA,2,1,2411,25,"female",5
3,NA,3,1,603,38,"female",4
2,NA,1,0,16577,36,"female",6
2,NA,2,1,43152.8415,46,"female",4
2,NA,1,0,43152.8415,59,"male",3
1,NA,2,2,7836,71,"male",2
1,NA,3,0,16577,26,"female",3
3,NA,2,0,16577,19,"female",4
3,NA,3,0,5425,69,"male",NA
3,NA,1,1,25619,30,"male",2
1,NA,1,1,51237,41,"female",2
1,NA,3,0,16577,26,"female",2
2,NA,3,3,13563,32,"male",1
2,NA,2,2,19591,27,"male",2
3,NA,3,1,4220,31,"male",2
2,NA,3,1,4220,26,"female",5
2,NA,2,1,NA,68,"female",2
1,NA,1,1,43152.8415,70,"female",5
1,NA,2,1,10850,52,"female",4
2,NA,3,0,NA,68,"female",6
2,NA,2,1,43152.8415,23,"female",4
1,NA,2,3,10850,25,"female",4
3,NA,3,1,13563,27,"female",2
2,NA,1,1,36167,38,"male",2
2,NA,2,1,13563,78,"male",4
1,NA,2,1,NA,NA,"female",NA
2,NA,2,1,13563,73,"female",4
1,NA,1,1,19591,70,"female",6
2,NA,2,0,NA,50,"male",4
2,NA,3,1,10850,21,"female",1
2,NA,2,0,19591,35,"male",4
2,NA,1,1,90722,24,"male",1
3,NA,2,1,90722,19,"male",4
1,NA,1,3,51237,31,"female",3
2,NA,2,1,36167,19,"female",4
2,NA,3,1,43152.8415,39,"female",5
2,NA,2,1,36167,38,"male",3
2,NA,2,0,16577,60,"male",2
1,NA,2,1,51237,68,"male",3
2,NA,2,1,25619,34,"female",4
1,NA,1,1,36167,75,"male",4
2,NA,2,1,NA,59,"female",5
2,NA,2,0,22605,28,"male",3
2,NA,2,0,4220,72,"female",5
2,NA,3,1,NA,62,"male",5
1,NA,3,1,22605,27,"male",4
1,NA,2,1,43152.8415,28,"female",4
2,NA,1,0,7836,65,"female",NA
2,NA,1,0,7836,81,"male",4
1,NA,3,0,16577,42,"female",NA
2,NA,3,1,13563,25,"female",3
1,NA,1,1,25619,26,"male",5
3,NA,3,1,10850,24,"female",4
2,NA,3,0,9042,26,"female",4
1,NA,2,1,6631,78,"male",4
2,NA,3,1,36167,23,"male",2
3,NA,1,0,NA,89,"female",4
2,NA,1,0,16577,66,"male",1
2,NA,1,0,16577,63,"female",2
1,NA,1,1,16577,28,"female",2
2,NA,3,0,43152.8415,52,"female",4
2,NA,2,0,51237,19,"male",4
3,NA,2,2,36167,50,"male",6
1,NA,1,0,13563,63,"female",3
1,NA,1,3,22605,69,"female",4
2,NA,3,1,6631,31,"female",3
2,NA,3,2,19591,30,"female",4
3,NA,3,3,2411,34,"male",2
2,NA,2,1,25619,20,"female",5
2,NA,2,1,36167,66,"female",NA
2,NA,2,3,51237,34,"male",5
1,NA,2,2,9042,58,"female",6
1,NA,3,0,13563,75,"male",3
2,NA,1,1,51237,21,"female",4
2,NA,2,1,16577,63,"male",6
1,NA,2,1,NA,61,"male",4
1,NA,3,1,13563,25,"female",6
3,NA,2,1,7836,64,"female",4
2,NA,2,0,51237,46,"male",4
1,NA,1,0,7836,73,"male",4
1,NA,1,1,10850,74,"male",4
2,NA,2,1,16577,59,"female",NA
1,NA,2,0,6631,76,"female",4
2,NA,2,0,5425,73,"female",4
1,NA,1,2,10850,24,"female",1
1,NA,1,1,36167,33,"male",5
1,NA,2,0,5425,76,"male",4
2,NA,2,0,5425,60,"female",2
2,NA,3,1,4220,70,"female",4
1,NA,1,0,13563,68,"female",4
2,NA,1,0,10850,73,"male",5
2,NA,1,0,13563,75,"female",3
1,NA,1,0,4220,79,"female",6
2,NA,2,3,13563,24,"female",2
1,NA,3,0,10850,60,"female",7
3,NA,1,0,2411,53,"female",4
1,NA,1,1,6631,29,"male",4
2,NA,2,0,43152.8415,23,"male",7
2,NA,3,1,9042,24,"female",4
2,NA,2,0,2411,74,"female",NA
3,NA,2,0,6631,65,"female",6
2,NA,2,1,13563,33,"female",4
1,NA,1,1,51237,69,"male",4
1,NA,3,1,19591,50,"female",2
3,NA,3,0,9042,49,"male",4
2,NA,2,1,51237,44,"male",5
2,NA,3,1,43152.8415,28,"male",5
2,NA,3,0,NA,19,"male",5
2,NA,1,1,16577,26,"female",6
2,NA,2,2,90722,25,"female",5
1,NA,1,0,16577,76,"female",4
2,NA,1,1,51237,21,"female",3
1,NA,2,1,NA,27,"male",4
2,NA,1,0,16577,79,"male",6
1,NA,1,1,90722,46,"female",4
1,NA,1,1,43152.8415,52,"female",6
2,NA,2,1,6631,19,"female",4
2,NA,2,0,7836,59,"female",3
2,NA,2,1,43152.8415,37,"female",6
2,NA,1,1,25619,33,"male",5
2,NA,2,3,36167,27,"male",5
1,NA,2,2,36167,28,"female",6
2,NA,2,0,4220,29,"female",2
2,NA,2,1,36167,29,"male",3
1,NA,1,1,NA,68,"female",4
1,NA,2,1,16577,30,"female",4
1,NA,2,0,16577,27,"female",NA
2,NA,2,1,90722,29,"female",6
1,NA,2,1,51237,56,"female",7
2,NA,2,3,19591,42,"female",4
2,NA,1,4,51237,30,"male",6
1,NA,1,3,51237,28,"female",6
1,NA,1,1,51237,57,"female",5
2,NA,2,2,16577,77,"female",7
2,NA,1,1,90722,20,"male",4
1,NA,1,0,13563,59,"male",NA
3,NA,3,0,5425,77,"female",NA
2,NA,3,0,36167,51,"male",6
3,NA,3,0,2411,74,"female",NA
1,NA,2,3,51237,25,"male",5
1,NA,3,0,NA,60,"male",NA
1,NA,1,0,5425,78,"female",4
2,NA,1,3,43152.8415,27,"male",6
1,NA,3,1,90722,46,"female",5
1,NA,1,0,22605,59,"female",6
1,NA,1,0,10850,61,"female",5
2,NA,2,1,9042,37,"female",5
1,NA,3,0,13563,23,"male",5
1,NA,1,1,13563,27,"female",6
2,NA,2,1,43152.8415,32,"female",6
2,NA,2,3,36167,58,"female",5
1,NA,1,1,90722,58,"male",4
1,NA,3,1,9042,40,"female",4
2,NA,3,0,10850,50,"female",4
2,NA,1,1,90722,23,"female",5
1,NA,1,3,36167,28,"female",3
1,NA,1,1,51237,29,"female",3
2,NA,2,1,16577,30,"female",3
2,NA,1,1,90722,39,"female",3
1,NA,1,0,36167,66,"male",6
2,NA,1,0,2411,82,"female",3
1,NA,2,2,NA,68,"male",6
2,NA,2,1,36167,37,"male",4
2,NA,2,0,19591,71,"female",4
2,NA,2,0,NA,53,"female",NA
2,NA,2,1,25619,45,"male",4
3,NA,2,1,6631,23,"male",4
1,NA,1,1,90722,65,"male",5
1,NA,1,0,9042,84,"male",6
2,NA,2,1,25619,30,"male",3
1,NA,2,0,NA,62,"female",4
1,NA,1,2,43152.8415,36,"male",4
2,NA,1,0,6631,81,"female",NA
1,NA,2,0,5425,66,"male",4
2,NA,2,1,9042,39,"female",2
2,NA,2,0,19591,36,"male",6
1,NA,1,1,13563,71,"male",NA
2,NA,2,0,16577,51,"male",NA
2,NA,2,1,90722,70,"male",5
2,NA,2,1,43152.8415,54,"male",4
2,NA,1,3,90722,71,"female",5
2,NA,3,1,16577,23,"male",4
1,NA,1,0,51237,52,"female",5
2,NA,1,0,10850,72,"male",4
1,NA,1,1,90722,37,"male",6
1,NA,2,0,22605,51,"female",4
1,NA,2,1,NA,33,"female",6
2,NA,1,1,25619,33,"female",4
1,NA,3,0,36167,44,"male",3
3,NA,3,1,25619,44,"male",6
2,NA,2,0,13563,67,"male",4
2,NA,3,1,7836,62,"male",4
2,NA,1,2,36167,31,"male",6
2,NA,3,1,36167,20,"female",4
1,NA,2,1,2411,61,"male",2
1,NA,2,1,43152.8415,33,"male",3
1,NA,2,0,4220,69,"female",6
3,NA,2,1,13563,60,"male",5
1,NA,1,0,13563,87,"male",6
2,NA,3,1,19591,23,"female",4
2,NA,2,1,10850,25,"female",4
2,NA,1,0,5425,83,"female",6
2,NA,3,0,5425,65,"male",2
1,NA,1,1,25619,48,"male",6
2,NA,1,1,13563,31,"male",3
1,NA,2,1,36167,78,"male",4
2,NA,1,0,16577,61,"female",6
3,NA,3,1,36167,35,"female",5
2,NA,3,0,43152.8415,20,"female",6
3,NA,2,0,19591,61,"male",2
3,NA,3,1,19591,39,"male",4
1,NA,2,0,NA,50,"female",4
3,NA,3,0,5425,40,"male",NA
1,NA,2,0,16577,51,"male",4
2,NA,3,1,5425,25,"female",NA
1,NA,1,NA,10850,53,"female",4
2,NA,3,0,5425,56,"female",2
2,NA,2,0,25619,51,"male",4
2,NA,2,0,9042,62,"male",4
3,NA,2,0,22605,56,"male",3
2,NA,2,0,5425,78,"female",6
2,NA,2,1,51237,40,"male",3
2,NA,3,1,2411,25,"female",4
1,NA,1,1,51237,67,"female",4
2,NA,3,1,22605,20,"female",2
3,NA,3,0,4220,73,"male",NA
3,NA,3,0,4220,67,"male",4
1,NA,1,1,19591,63,"female",5
2,NA,2,0,6631,45,"female",5
1,NA,1,1,NA,59,"female",5
1,NA,2,0,36167,35,"female",4
3,NA,2,0,NA,68,"female",NA
1,NA,3,0,NA,74,"female",NA
1,NA,2,0,5425,55,"female",2
2,NA,1,0,4220,69,"male",6
2,NA,2,4,NA,62,"female",7
1,NA,2,3,22605,41,"female",4
2,NA,2,1,13563,23,"male",4
2,NA,1,4,10850,73,"female",5
2,NA,2,3,16577,27,"female",5
3,NA,1,3,25619,38,"female",5
1,NA,2,1,5425,19,"female",6
1,NA,2,3,7836,26,"female",4
3,NA,1,0,NA,79,"female",1
2,NA,2,1,13563,56,"female",7
1,NA,2,1,NA,39,"male",7
1,NA,2,0,NA,73,"female",7
1,NA,3,0,10850,30,"female",1
2,NA,1,1,36167,52,"female",6
1,NA,1,0,603,36,"female",4
2,NA,2,1,2411,23,"female",3
2,NA,1,1,16577,40,"female",3
2,NA,1,0,4220,63,"female",4
2,NA,2,0,NA,69,"female",NA
1,NA,1,1,7836,77,"female",5
1,NA,1,NA,90722,20,"male",6
1,NA,2,0,13563,30,"male",4
1,NA,3,0,13563,58,"female",7
1,NA,1,1,NA,54,"female",6
2,NA,2,1,NA,28,"male",7
2,NA,3,0,36167,26,"male",4
1,NA,3,1,NA,41,"male",4
2,NA,3,1,16577,21,"female",6
2,NA,3,0,16577,32,"male",3
2,NA,3,0,2411,57,"female",7
2,NA,3,1,25619,26,"male",4
3,NA,2,0,13563,22,"female",4
1,NA,2,0,7836,24,"female",NA
1,NA,3,1,4220,68,"male",7
2,NA,2,1,13563,21,"male",7
2,NA,3,1,43152.8415,31,"female",4
2,NA,1,1,25619,31,"male",4
1,NA,2,3,25619,33,"male",4
2,NA,2,1,NA,69,"female",NA
3,NA,3,1,10850,24,"female",NA
3,NA,3,0,6631,66,"female",7
3,NA,1,1,NA,40,"male",3
3,NA,3,4,NA,46,"male",3
3,NA,3,0,10850,27,"male",5
1,NA,2,1,22605,37,"male",3
1,NA,1,0,9042,71,"female",3
2,NA,2,0,9042,27,"female",3
2,NA,3,1,36167,53,"female",2
2,NA,1,2,16577,38,"female",1
2,NA,2,0,5425,22,"male",3
2,NA,2,1,25619,26,"female",4
2,NA,2,1,51237,35,"male",5
2,NA,2,0,36167,45,"male",6
2,NA,2,3,90722,53,"male",4
2,NA,1,1,51237,55,"male",3
2,NA,3,1,603,24,"female",4
2,NA,3,0,7836,27,"female",2
2,NA,2,3,NA,31,"female",3
3,NA,2,0,16577,40,"male",4
2,NA,3,0,NA,63,"male",4
2,NA,2,0,NA,22,"female",5
2,NA,3,0,NA,30,"male",2
3,NA,3,0,NA,87,"female",2
2,NA,3,0,10850,61,"female",7
2,NA,3,1,43152.8415,31,"male",3
2,NA,3,1,6631,24,"male",4
3,NA,2,0,4220,19,"female",4
2,NA,3,0,6631,45,"female",4
2,NA,3,1,603,35,"female",1
3,NA,2,0,2411,19,"female",4
NA,NA,1,1,2411,70,"male",6
2,NA,2,1,16577,21,"female",5
2,NA,2,1,10850,71,"female",4
2,NA,2,NA,13563,29,"female",4
1,NA,3,0,5425,67,"male",1
1,NA,3,1,4220,60,"male",2
1,NA,2,0,6631,59,"male",2
1,NA,1,1,90722,28,"male",7
3,NA,3,0,5425,61,"female",4
2,NA,3,0,10850,59,"female",4
2,NA,1,2,19591,27,"female",4
2,NA,2,1,16577,31,"male",6
1,NA,1,0,10850,49,"male",3
2,NA,2,0,4220,46,"male",4
3,NA,3,0,10850,23,"male",NA
2,NA,3,0,6631,50,"female",6
2,NA,1,3,4220,68,"female",4
2,NA,2,1,51237,49,"male",4
3,NA,3,1,16577,27,"male",1
3,NA,2,0,22605,28,"male",7
2,NA,3,1,43152.8415,36,"female",NA
2,NA,2,0,5425,68,"female",NA
1,NA,1,1,36167,65,"male",4
2,NA,2,1,36167,47,"male",4
3,NA,1,1,10850,22,"female",2
2,NA,3,0,22605,53,"female",2
2,NA,2,1,22605,34,"male",4
2,NA,2,0,43152.8415,40,"male",4
2,NA,3,0,16577,29,"male",4
2,NA,3,0,13563,52,"female",NA
3,NA,2,1,36167,37,"female",6
2,NA,2,3,36167,40,"male",4
2,NA,2,2,51237,56,"male",4
2,NA,3,1,25619,41,"female",2
2,NA,2,0,NA,89,"female",NA
2,NA,3,1,13563,29,"male",4
2,NA,3,1,43152.8415,33,"female",2
3,NA,3,1,16577,23,"male",4
2,NA,2,1,13563,58,"male",4
1,NA,3,1,10850,36,"female",3
2,NA,2,1,36167,26,"female",4
2,NA,3,0,2411,22,"female",5
2,NA,3,4,36167,32,"female",4
2,NA,2,1,36167,24,"female",5
1,NA,1,2,43152.8415,53,"female",7
3,NA,1,0,25619,49,"female",1
2,NA,1,1,16577,67,"male",6
3,NA,2,1,4220,23,"female",4
1,NA,1,0,7836,64,"male",6
2,NA,2,1,36167,24,"female",3
2,NA,2,0,2411,73,"female",NA
1,NA,2,1,7836,25,"female",4
2,NA,1,0,603,86,"female",3
1,NA,2,3,7836,50,"female",2
2,NA,2,1,2411,72,"female",5
3,NA,2,1,13563,38,"female",3
3,NA,2,1,7836,24,"female",2
2,NA,3,3,25619,41,"male",4
3,NA,3,1,16577,28,"female",4
1,NA,2,0,5425,76,"male",3
2,NA,3,0,16577,24,"female",4
2,NA,3,1,NA,26,"male",4
2,NA,2,2,4220,28,"female",3
3,NA,3,3,36167,41,"male",3
2,NA,3,2,13563,37,"male",4
2,NA,1,3,22605,30,"male",2
2,NA,3,1,22605,57,"male",1
2,NA,2,1,4220,31,"male",2
1,NA,2,1,5425,23,"female",2
2,NA,3,1,7836,26,"male",4
3,NA,3,2,4220,39,"female",4
1,NA,1,0,10850,46,"male",4
2,NA,2,0,7836,58,"female",5
2,NA,1,1,16577,27,"male",4
1,NA,2,1,9042,61,"female",2
3,NA,1,0,19591,41,"female",7
2,NA,3,0,4220,77,"female",6
3,NA,3,0,4220,54,"female",2
3,NA,3,1,5425,33,"female",NA
2,NA,3,0,NA,44,"female",NA
3,NA,1,0,4220,74,"male",6
1,NA,1,0,16577,44,"male",NA
